512,512,362,973,512,513,1500
512,512,27,973,512,513,1500
512,512,27,973,442,583,1500
517,407,32,663,442,583,1500
507,407,32,663,517,508,1500
517,407,32,663,517,508,1500
517,462,147,528,502,523,1500
517,462,67,648,502,523,1500
517,462,147,528,502,523,1500
517,462,147,528,467,558,1500
517,462,147,528,482,543,1500
382,507,237,383,482,543,1500
382,482,287,378,482,543,1500
382,482,297,378,392,633,1500
381,506,57,688,392,633,1500
381,506,57,688,482,543,1500
381,506,22,688,482,543,1500
611,506,22,688,482,543,1500
611,601,412,258,482,543,1500
611,601,332,418,482,543,1500
611,601,332,418,377,648,1500
611,601,112,778,417,608,1500
512,512,362,973,512,513,1500
